	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-mir-329 MI0000605	1599	1472	1216	853	1314	396	359	1637	502	637	2090	1359	2095	1981	1771
mmu-mir-324 MI0000595	21	29	18	12	28	1	5	6	3	1	27	16	48	26	33
mmu-mir-5122 MI0018031	0	0	0	1	0	2	3	0	0	1	3	0	0	0	2
mmu-mir-3061 MI0014023	8	4	5	0	1	1	0	4	1	2	10	1	4	4	1
mmu-mir-344-2 MI0005495	0	0	0	0	2	0	0	0	0	0	2	3	1	0	0
mmu-mir-6369 MI0021898	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-125a MI0000151	1676	2110	1815	1545	1928	793	905	1502	977	1238	2840	1299	2811	2744	2722
mmu-mir-7680 MI0025025	0	1	1	0	0	0	2	0	0	0	1	1	1	0	0
mmu-mir-99a MI0000146	16483	12372	10078	11790	15783	9226	10392	19702	18163	10590	24891	16312	20879	14998	21061
mmu-mir-148a MI0000550	34797	13526	10088	12100	13750	16129	13085	25505	39483	18704	23836	26931	19258	13934	21898
mmu-mir-429 MI0001642	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
mmu-mir-1839 MI0009991	809	636	480	414	341	259	256	569	389	313	960	730	779	672	840
mmu-mir-6935 MI0022782	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0
mmu-mir-6902 MI0022749	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-mir-137 MI0000163	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
mmu-mir-455 MI0004679	115	166	113	115	95	43	25	90	70	41	228	74	184	154	169
