	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-miR-7083-5p MIMAT0028072	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-370-3p MIMAT0001095	178	74	66	73	62	141	155	184	222	252	182	186	111	107	117
mmu-miR-1953 MIMAT0009424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-1839-3p MIMAT0009457	6	12	4	5	5	0	0	5	1	4	20	6	10	6	9
mmu-miR-1839-5p MIMAT0009456	430	351	269	215	193	133	123	263	231	169	502	396	395	372	434
mmu-miR-214-5p MIMAT0004664	99	118	92	109	165	31	35	77	66	33	223	79	165	162	224
mmu-miR-18b-5p MIMAT0004858	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
mmu-miR-8111 MIMAT0031417	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
mmu-miR-28c MIMAT0019339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7a-5p MIMAT0000677	123	51	45	41	43	14	23	43	22	35	97	81	83	62	149
mmu-miR-299a-5p MIMAT0000377	291	753	534	461	710	14	22	107	37	45	876	136	748	1047	711
mmu-miR-126a-5p MIMAT0000137	278	1316	1096	1010	1065	15	17	82	22	29	1787	161	1342	1735	1344
mmu-miR-5615-5p MIMAT0022355	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-1960 MIMAT0009433	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1
mmu-miR-383-5p MIMAT0000748	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0
