	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
 ENSMUSG00000095111	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000096328	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
 ENSMUSG00000096563	4	2	3	6	2	9	16	4	6	6	1	4	4	5	2
 ENSMUSG00000095118	272	329	269	330	341	186	189	329	199	312	316	212	348	280	311
 ENSMUSG00000096684	0	0	1	1	1	1	2	0	1	0	0	0	0	0	0
 ENSMUSG00000095479	0	0	0	0	0	0	0	2	2	1	0	0	2	2	0
 ENSMUSG00000094389	0	0	0	0	0	0	0	2	2	1	0	0	2	2	0
 ENSMUSG00000077804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000064858	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1
 ENSMUSG00000065706	3	3	2	0	1	3	4	1	4	1	0	1	1	0	1
 ENSMUSG00000087858	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000065709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000065940	3	1	4	8	3	3	5	11	11	4	0	2	4	1	2
 ENSMUSG00000064850	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000064731	61	80	83	55	51	16	14	31	19	16	100	39	73	84	101
 ENSMUSG00000064853	6	0	2	6	10	2	3	3	6	5	2	2	3	1	2
 ENSMUSG00000094263	73504	67818	53317	40413	54606	88485	124480	159193	62644	111261	91883	55625	63877	70861	79443
 ENSMUSG00000064612	5957	6807	5181	4334	5289	3982	4027	8529	3460	6327	8531	4784	5777	5862	7996
 ENSMUSG00000065822	628	665	525	505	932	670	779	1052	569	860	971	531	746	719	913
 ENSMUSG00000095472	343	63	136	161	202	42	155	449	270	152	163	275	318	251	437
 ENSMUSG00000088948	656	570	473	1170	1532	1989	1453	1872	1391	2105	669	485	693	670	561
 ENSMUSG00000096677	0	0	0	0	0	0	0	2	2	1	0	0	2	2	0
 ENSMUSG00000095221	2	0	1	1	0	1	4	0	3	1	1	1	2	0	0
 ENSMUSG00000093044	25	30	25	47	44	27	35	35	34	37	35	15	43	26	31
 ENSMUSG00000095349	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0
 ENSMUSG00000096431	0	0	0	0	0	0	3	2	2	1	0	0	2	2	0
 ENSMUSG00000093289	35	40	30	26	27	49	53	69	47	59	45	23	46	33	53
 ENSMUSG00000064981	11	13	9	25	39	5	13	20	9	8	15	6	15	13	8
 ENSMUSG00000084691	491	519	469	317	496	377	463	618	228	498	728	382	558	559	447
 ENSMUSG00000084693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000087967	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
 ENSMUSG00000065716	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 ENSMUSG00000084459	49	53	40	26	52	55	75	96	53	107	66	65	49	38	35
 ENSMUSG00000087963	27	25	41	30	26	10	17	32	13	17	34	22	40	46	42
 ENSMUSG00000088930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000064741	20	40	36	45	55	13	12	27	8	19	56	16	37	36	27
 ENSMUSG00000064620	12	18	10	49	56	9	1	18	6	12	4	7	10	7	6
 ENSMUSG00000064621	22835	12797	9963	7357	15958	56615	54696	59018	35608	53076	19796	19885	13797	13188	14875
 ENSMUSG00000064500	803	579	501	359	494	605	627	935	545	785	809	628	615	597	793
 ENSMUSG00000064984	1073	4514	3530	3177	4862	281	389	1064	304	462	6547	805	3846	4747	5872
